
,,,,,,Totals,Totals,Totals,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Shooting,Shooting,Shooting,Shooting,Shooting,Shooting
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
2268,Rodney Rogers,1997-98,26,LAC,NBA,76,70,2499,6.1,13.5,5.1,10.4,1.0,3.1,3.2,4.7,2.2,3.9,6.1,2.9,1.3,0.5,2.8,3.5,16.6,.456,.490,.340,.494,.686,.532
2269,Rodney Rogers,1998-99,27,LAC,NBA,47,7,968,4.9,11.0,4.2,8.7,0.7,2.3,2.5,3.8,2.4,4.2,6.7,2.9,1.7,0.8,2.5,5.2,12.9,.441,.483,.286,.471,.673,.510
2270,Rodney Rogers,1999-00,28,PHO,NBA,82,7,2286,6.7,13.9,4.9,9.7,1.8,4.1,2.5,3.9,2.2,4.9,7.0,2.7,1.5,0.7,2.6,4.6,17.8,.486,.506,.439,.551,.639,.570
2271,Rodney Rogers,2000-01,29,PHO,NBA,82,3,2183,6.2,14.4,5.3,11.3,0.9,3.1,3.1,4.1,1.6,4.4,5.9,3.0,1.6,0.8,2.6,4.4,16.5,.430,.467,.296,.462,.761,.507
2272,Rodney Rogers,2001-02,30,TOT,NBA,77,8,1880,6.8,14.5,5.1,10.0,1.7,4.5,2.2,2.9,2.5,4.2,6.7,2.1,1.3,0.6,2.1,4.3,17.6,.471,.514,.374,.529,.785,.558
2273,Sergio Rodriguez,2007-08,21,POR,NBA,72,0,628,4.0,11.2,3.0,7.9,1.0,3.3,1.4,2.2,0.7,2.6,3.3,7.1,1.4,0.0,3.0,3.3,10.3,.352,.377,.293,.395,.658,.423
2274,Sergio Rodriguez,2008-09,22,POR,NBA,80,13,1225,3.8,9.7,2.7,6.3,1.1,3.4,1.8,2.3,1.3,2.6,3.8,8.4,1.6,0.1,3.5,3.9,10.5,.392,.428,.325,.448,.792,.491
2275,Dennis Rodman*,1986-87,25,DET,NBA,77,1,1155,6.6,12.2,6.6,12.2,0.0,0.0,2.3,3.9,5.1,5.3,10.3,1.7,1.2,1.5,2.9,5.2,15.6,.545,.546,.000,.545,.587,.560
2276,Dennis Rodman*,1987-88,26,DET,NBA,82,32,2147,6.7,11.9,6.6,11.6,0.1,0.3,2.5,4.8,5.3,6.7,12.0,1.8,1.3,0.8,2.6,4.6,16.0,.561,.568,.294,.565,.535,.571
2277,Dennis Rodman*,1988-89,27,DET,NBA,82,8,2208,5.2,8.7,5.1,8.2,0.1,0.4,1.6,2.5,5.3,7.3,12.6,1.6,0.9,1.2,2.1,4.8,12.0,.595,.614,.231,.601,.626,.613
2278,Dennis Rodman*,1989-90,28,DET,NBA,82,43,2377,4.4,7.5,4.3,7.4,0.0,0.1,2.2,3.3,5.1,6.9,12.0,1.1,0.8,0.9,1.4,4.2,10.9,.581,.589,.111,.582,.654,.608
2279,Dennis Rodman*,1990-91,29,DET,NBA,82,77,2747,3.6,7.3,3.5,6.9,0.1,0.4,1.5,2.3,4.7,8.7,13.4,1.1,0.9,0.7,1.2,3.7,8.8,.493,.509,.200,.498,.631,.525
